id,genres,popularity,vote_average,vote_count,revenue,budget,runtime
1724,"[""Science Fiction"",""Action"",""Adventure""]",6.719569,6.1,2740,163712074,150000000,114
1732,"[""Action"",""Adventure"",""Comedy""]",0.508708,5.7,14,0,0,108
1736,"[""Comedy"",""Drama""]",0.059538,5.9,7,0,0,91
1740,"[""Comedy"",""Drama""]",0.571577,5.3,6,0,0,100
1772,"[""Drama""]",0.571063,5.3,4,0,0,129
1776,"[""Documentary""]",0.338456,6.5,102,0,0,87
1788,"[""Drama"",""Family"",""Music"",""Romance""]",2.757874,6.3,464,80035402,8200000,107
1792,"[""Comedy""]",2.028493,5.1,175,33828318,55000000,118
1808,"[""Drama"",""Music""]",1.279502,6.9,106,1053788,0,119
1812,"[""Comedy"",""Romance""]",1.172415,6.6,21,2049595,450000,89
1816,"[""Drama"",""Music""]",0.51273,6.2,32,14202899,0,113
1824,"[""Comedy"",""Romance""]",4.547096,6.6,1900,196482882,75000000,99
1832,"[""Fantasy"",""Comedy"",""Adventure""]",1.836582,6.7,772,30652890,10000000,130
1836,"[""Drama"",""Horror""]",0.221151,6.3,33,0,0,93
1840,"[""Crime""]",0.08862,4.7,5,0,0,72
1844,"[""Romance"",""Drama"",""Mystery""]",2.875646,6,558,212404396,66000000,112
1848,"[""Mystery"",""Crime""]",0.673892,6.4,4,0,0,92
1852,"[""Drama"",""History"",""Thriller""]",3.838939,5.9,407,162945894,63000000,128
1860,"[""Drama""]",0.005475,6,1,0,0,98
1864,"[""Comedy""]",0.078011,0,0,0,0,101
1868,"[""Crime""]",0.138971,0,0,0,0,103
1872,"[""Action"",""Adventure"",""Horror"",""Thriller""]",1.451903,4.7,57,0,0,97
1876,"[""Drama"",""Horror"",""Comedy""]",0.045741,6,1,0,0,90
1880,"[""Action"",""Thriller""]",1.862875,6.4,203,38376497,4200000,114
1884,"[""Adventure"",""Family"",""Fantasy"",""Science Fiction"",""TV Movie""]",1.620756,6,42,0,3000000,96
1888,"[""Romance"",""Comedy""]",1.79437,7,43,0,0,125
1892,"[""Adventure"",""Action"",""Science Fiction""]",3.5343,7.9,4313,572700000,32350000,135
1896,"[""Drama"",""History""]",0.249718,6.5,16,0,0,137
1900,"[""Thriller"",""Drama"",""Crime""]",1.997061,6.8,522,207515725,48000000,147
1904,"[""Drama"",""History"",""Romance""]",2.696713,7.2,605,162242962,85000000,145
1908,"[""Drama"",""History""]",0.729136,7.6,87,0,0,128
1912,"[""Comedy"",""Drama""]",0.458953,6.9,28,0,2500000,129
1920,"[""Crime"",""Drama"",""Thriller""]",0.947855,5.8,10,0,0,83
1924,"[""Action"",""Adventure"",""Fantasy"",""Science Fiction""]",4.352502,6.9,916,300218018,55000000,143
1936,"[""Adventure"",""Western""]",1.288571,6.2,50,0,0,91
1940,"[""Music"",""Drama"",""Romance""]",0.143468,5.7,6,0,7000000,138
1944,"[""Drama""]",1.241572,5.9,41,0,0,111
1948,"[""Action"",""Thriller"",""Crime""]",2.596776,6.6,1073,42931041,12000000,88
1956,"[""Mystery"",""Drama"",""Adventure""]",1.418632,6,63,0,3500000,103
1964,"[""Drama""]",0.323775,7.6,18,0,0,84
1968,"[""Drama"",""Comedy"",""Romance""]",0.853787,5.8,119,29481428,0,109
1976,"[""Drama"",""Romance""]",1.320671,7.2,37,0,1250000,103
1980,"[""Comedy"",""Documentary""]",0.170559,6.3,4,0,0,90
1984,"[""Drama"",""Science Fiction""]",0.256143,6.9,20,0,0,90
1988,"[""Drama"",""Thriller""]",1.24527,6.7,90,18928871,16000000,100
1992,"[""Horror"",""Action"",""Thriller""]",2.720361,6.6,1007,0,0,105
1996,"[""Action"",""Adventure"",""Fantasy"",""Thriller""]",4.37471,5.6,1310,156505388,95000000,117
2000,"[""Adventure"",""Drama"",""History""]",2.223889,7.5,181,0,92000,93
2004,"[""Action"",""Comedy"",""Romance""]",1.142521,6.6,19,0,0,96
2008,"[""Fantasy"",""Drama"",""Action"",""Thriller"",""Romance""]",0.636156,5,27,0,0,98
2012,"[""Drama""]",0.159971,7.1,24,0,0,142
2016,"[""Drama"",""History"",""War""]",1.387163,6.7,87,22963701,14500000,128
2020,"[""Comedy""]",1.21074,4.5,77,36911617,51000000,101
